支付宝交易记录明细查询
账号:[414983570@qq.com]
起始日期:[2020-07-11 00:00:00]    终止日期:[2020-10-11 23:00:29]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2020101122001463351453910766	,16024135372512922063354	,2020-10-11 18:52:17 ,2020-10-11 18:52:27 ,2020-10-11 18:52:27 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,福万家百货           ,商品                  ,10.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020101122001463351454351050	,16024130327512922063354	,2020-10-11 18:43:53 ,2020-10-11 18:44:06 ,2020-10-11 18:44:06 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,外贸陶瓷            ,商品                  ,6.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020101122001463351453891096	,10c75fbf09534c7aa41e758af8dddea1	,2020-10-11 13:56:13 ,2020-10-11 13:56:14 ,2020-10-11 13:56:14 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,龙光大厦店           ,条码支付                ,5.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020101122001463351454426294	,0a272d72f9f341888aebeb66eeab0f5f	,2020-10-11 13:32:30 ,2020-10-11 13:32:30 ,2020-10-11 13:32:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,永丰店             ,条码支付                ,20.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020101122001463351454057863	,20101170123406235510	,2020-10-11 11:21:30 ,2020-10-11 11:21:36 ,2020-10-11 11:21:36 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,华莱士·全鸡汉堡(西乡坪洲店)外卖订单 ,18.97   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201011398125141351 	,                    	,2020-10-11 02:52:16 ,                    ,2020-10-11 02:52:16 ,支付宝网站     ,即时到账交易          ,华安基金管理有限公司      ,余额宝-2020.10.10-收益发放 ,0.74    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020101022001463351453926538	,16023271485512922063354	,2020-10-10 18:52:29 ,2020-10-10 18:52:33 ,2020-10-10 18:52:33 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,福万家百货           ,商品                  ,19.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020101029020848350141017019	,                    	,2020-10-10 16:13:50 ,2020-10-10 16:13:50 ,2020-10-10 16:13:50 ,支付宝网站     ,即时到账交易          ,花呗              ,自动还款-花呗2020年10月账单   ,1223.08 ,        ,还款成功    ,0.00     ,0.00     ,                    ,资金转移     ,
2020101022001463351453909780	,3720180330024764010461368603363009695708784	,2020-10-10 12:43:13 ,2020-10-10 12:43:19 ,2020-10-10 12:43:19 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,白鹿塬油泼面（宝华店）     ,总共消费:10.0           ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201010392990403351 	,                    	,2020-10-10 05:38:35 ,                    ,2020-10-10 05:38:35 ,支付宝网站     ,即时到账交易          ,华安基金管理有限公司      ,余额宝-2020.10.09-收益发放 ,0.79    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
